TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean ppb
Winter 2013-14,CD,302,6,Fort Greene and Brooklyn Heights (CD2),1.2,1.3,1.2
Winter 2013-14,CD,303,6,Bedford Stuyvesant (CD3),1.3,1.4,1.4
Winter 2013-14,CD,304,6,Bushwick (CD4),1.2,1.6,1.4
Winter 2013-14,CD,305,6,East New York and Starrett City (CD5),0.9,1.3,1.1
Winter 2013-14,CD,306,6,Park Slope and Carroll Gardens (CD6),0.9,1.2,1.1
Winter 2013-14,CD,307,6,Sunset Park (CD7),0.9,1.2,1.0
Winter 2013-14,CD,308,6,Crown Heights and Prospect Heights (CD8),1.2,1.3,1.3
Winter 2013-14,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),1.2,1.3,1.3
Winter 2013-14,CD,310,6,Bay Ridge and Dyker Heights (CD10),0.9,1.1,1.0
Winter 2013-14,CD,311,6,Bensonhurst (CD11),0.9,1.1,1.0
Winter 2013-14,CD,312,6,Borough Park (CD12),1.0,1.2,1.1
Winter 2013-14,CD,313,6,Coney Island (CD13),0.8,0.9,0.8
Winter 2013-14,CD,314,6,Flatbush and Midwood (CD14),1.0,1.3,1.1
Winter 2013-14,CD,315,6,Sheepshead Bay (CD15),0.7,0.9,0.8
Winter 2013-14,CD,316,6,Brownsville (CD16),1.1,1.3,1.2
Winter 2013-14,CD,317,6,East Flatbush (CD17),1.0,1.3,1.1
Winter 2013-14,CD,318,6,Flatlands and Canarsie (CD18),0.7,1.0,0.8
Winter 2013-14,CD,401,6,Long Island City and Astoria (CD1),1.6,2.3,1.9
Winter 2013-14,CD,402,6,Woodside and Sunnyside (CD2),1.4,2.2,1.7
Winter 2013-14,CD,403,6,Jackson Heights (CD3),1.8,3.0,2.3
Winter 2013-14,CD,404,6,Elmhurst and Corona (CD4),1.9,2.9,2.4
